"advisor_raw","n_tesis","n_programas","anio_min","anio_max","programas","ejemplo_titulo","advisor_canonical_sugerido","metodo_sugerencia","notas"
"Dr. David Arellano Gault",52,5,2004,2025,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Gerencia Pública | Gestión Pública | Políticas Públicas","El envejecimiento de la población y el inminente cambio demográfico: un reto de diseño organizacional","David Arellano Gault","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Merino Huerta",25,2,2004,2021,"Administración y Políticas Públicas | Políticas Públicas","La política de transparencia y acceso a la información en México: un análisis de sus valores frente a la implementación de los comisionados del IFAI","Mauricio Merino Huerta","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Alejandra Ríos Cázares",21,4,2010,2023,"Administración y Políticas Públicas | Gestión Pública | Periodismo y Asuntos Públicos | Políticas Públicas","Las Casas de la Mujer Indígena su diseño e implementación: el caso de Cuetzalan, Puebla","Alejandra Ríos Cázares","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Antonio Caballero Juárez",20,3,2012,2026,"Derecho | Periodismo sobre Políticas Púbicas | Periodismo y Asuntos Públicos","La aplicación del principio de progresividad a los derechos adjetivos","José Antonio Caballero Juárez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. María Mercedes Albornoz",20,2,2010,2025,"Derecho | Periodismo y Asuntos Públicos","Materialidad de las operaciones económicas en el ámbito fiscal: la implementación de medios digitales para su acreditación","María Mercedes Albornoz","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Sergio Cárdenas Denham",19,5,2011,2026,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales | Gestión Pública | Periodismo y Asuntos Públicos | Políticas Públicas","Alimentación en escuelas y abandono escolar: análisis del programa de desayunos escolares en México en el contexto del COVID-19","Sergio Cárdenas Denham","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. María Solange Maqueo Ramírez",18,3,2012,2023,"Administración y Políticas Públicas | Derecho | Periodismo sobre Políticas Púbicas","Neuroderecho a la privacidad mental: análisis del GDPR","María Solange Maqueo Ramírez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gabriel Purón Cid",17,5,2018,2025,"Administración y Políticas Públicas | Gerencia Pública | Gestión Pública | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Factores que inciden en la autoexclusión financiera en materia de créditos formales para el caso mexicano","Gabriel Purón Cid","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Francisco Javier Aparicio Castillo",16,2,2007,2021,"Ciencia Política | Ciencia Política y Relaciones Internacionales","Los determinantes de la reelección legislativa en América Latina: una aproximación al caso mexicano","Francisco Javier Aparicio Castillo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Clara García Ayluardo",15,5,2007,2024,"Ciencia Política y Relaciones Internacionales | Derecho | Economía | Historia Aplicada | Historia Internacional","Caminar, ofrendar y pedir: espacio sagrado y la festividad del piecito del Señor de las Peñas en Reyes Etla, Oaxaca","Clara García Ayluardo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
